latitude,longitude,light,sound average,sound peak,MQ9 gas average,people
51.5006332397,0.0093366012,9,19.1,338,515.25,0
51.5006256103,0.0093482999,10,22.1,320,511.96,0
51.5006179809,0.0093583011,9,22.07,320,514.76,0
51.5006027221,0.0093650007,9,19.88,262,514.48,0
51.5005874633,0.0093782997,9,23.19,314,512.16,0
51.5005760192,0.0093850011,9,23.3,411,517.25,1
51.5005607604,0.0093966007,9,19.56,298,516.91,0
51.5005531311,0.0094083003,8,22.44,318,513.49,0
51.5005455017,0.0094216003,9,19.71,306,515.8,0
51.5005378723,0.0094349994,9,15.32,317,514.43,0
51.5005302429,0.0094415998,9,17.03,296,513.91,0
51.5005302429,0.0094483013,9,15.75,306,513.84,0
51.5005111694,0.0094632997,9,16.02,321,512.77,0
51.50050354,0.0094732999,9,16.97,296,513.62,0
51.50050354,0.0094750013,9,15.75,316,514.22,0
51.5004959106,0.0094916009,9,16.28,316,513.66,0
51.5004806518,0.009505001,9,18.74,319,514.47,0
51.5004806518,0.0095166006,9,16.56,333,514.76,0
51.500415802,0.0095950012,9,14.67,314,513.18,0
51.5003814697,0.0096316003,9,14.92,325,513.53,0
51.5003662109,0.0096533002,9,13.75,291,514.22,0
51.5003433227,0.0096616001,9,17.83,265,512.91,0
51.5003318786,0.0096650009,9,16.16,322,513.29,0
51.5003242492,0.0096683015,9,19.61,292,513.13,0
51.5003089904,0.0096749992,9,15.27,319,514.81,0
51.5002937316,0.0096933002,9,15.02,323,512.52,0
51.5002861022,0.0097033004,9,15.33,331,513.3,0
51.5002784729,0.0097083005,9,14.73,282,513.09,0
51.5002670288,0.0097133007,9,15.61,330,514.49,0
51.5002861022,0.0097033004,9,15.19,325,515.98,0
51.5002784729,0.0097033004,9,14.63,282,515.89,0
51.5002784729,0.0097083005,9,14.3,319,514.12,0
51.5002670288,0.0097200002,9,13.78,319,513.85,0
51.5002593994,0.0097316017,9,16.4,317,514.8,0
51.50025177,0.0097433004,9,20.29,296,512.23,0
51.50025177,0.0097516002,10,17.59,318,514.23,0
51.5002441406,0.0097582998,11,15.31,309,514.25,0
51.5002365112,0.0097716007,12,16.93,288,515.09,0
51.5002288818,0.0097849998,13,14.38,320,512.92,0
51.5002212524,0.0097949991,11,15.92,315,512.16,0
51.5002021789,0.0097982997,10,20.41,299,512.8,0
51.5001945495,0.0098066005,9,15.91,347,513.26,0
51.5001869201,0.0098150005,9,21.71,312,512.14,0
51.5001792907,0.0098183002,9,21.27,321,513.67,0
51.5001716613,0.0098215999,9,14.42,278,513.31,0
51.5001564025,0.0098282995,9,16.23,323,517.34,0
51.5001449584,0.0098282995,9,22.39,332,514.35,0
51.5001373291,0.0098282995,9,31.47,272,509.81,0
51.5001144409,0.0098299989,9,30.2,299,517.08,0
51.5000991821,0.009826601,9,25.77,332,514.7,0
51.5000801086,0.0098299989,9,20.93,329,512.26,0
51.500049591,0.0098450002,9,15.69,267,513.39,0
51.5000152587,0.0098599996,9,16.91,324,513.03,0
51.4999923706,0.0098650007,9,15.66,314,513.02,0
51.4999771118,0.0098700008,9,19.5,293,513.65,0
51.4999580383,0.0098800001,9,17.11,317,512.16,0
51.4999427795,0.0098932991,9,14.39,305,512.71,0
51.4999198913,0.0099033002,9,13.88,313,512.21,0
51.4998931884,0.0099149999,9,14.28,262,514.71,0
51.4998779296,0.0099266004,9,14.49,324,512.79,0
51.4998435974,0.0099450006,9,17.06,321,510.61,0
51.499835968,0.0099666004,9,22.84,411,520.37,0
51.4998130798,0.0099916,9,13.9,314,515.15,0
51.4998550415,0.0100083005,9,14.02,302,512.8,0
51.4998435974,0.0100233006,9,53.28,321,516.54,0
51.499835968,0.0100450003,9,39.95,310,515.08,0
51.4998283386,0.010065,9,37.58,296,514.61,0
51.4998207092,0.0100865995,9,32.29,348,513.79,0
51.4998130798,0.0100982999,9,37.6,310,513.26,0
51.4998054504,0.0101133,9,35,333,516.62,0
51.499797821,0.0101266014,10,38,302,514.36,0
51.4997901916,0.0101516008,9,38.61,310,513.32,0
51.4997787475,0.0101665997,9,31.89,340,514.49,0
51.4997901916,0.0101833009,9,41.08,309,515.16,0
51.4997787475,0.0101965999,9,43.83,335,515.37,0
51.4997787475,0.0102083003,9,35.46,299,516.78,0
51.4997787475,0.0102200007,9,38.22,333,512.94,0
51.4997787475,0.0102332997,9,35.66,343,512.22,0
51.4997787475,0.0102450001,9,39.54,307,513.91,0
51.4997787475,0.0102566003,9,37.4,313,512.26,0
51.4997787475,0.0102683007,9,32.86,340,515.01,0
51.4997711181,0.0102799999,10,18.29,304,516.01,0
51.4997711181,0.0102965998,10,13.59,274,515.96,0
51.4997711181,0.0103066003,10,13.93,304,513.35,0
51.4997634887,0.0103149998,10,14.75,317,511.43,0
51.4997558593,0.0103250002,9,15.06,284,514.26,0
51.4997482299,0.0103283011,10,16.44,310,508.74,0
51.4997406005,0.0103383004,9,19.52,322,515.91,0
51.499721527,0.0103533005,9,18.07,295,514.83,0
